"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry42","85","ec:3.2.1.86","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.2.1.86","rn:R05133",291,359,"rectangle",46,17,"#000000","#BFBFFF",37,"irreversible","ec","00010",0,0,0,0,1657,6084,27.2353714661407,0,0,13,0.619047619047619,0.000302480338777979,1,2.12627481801777e-15,10,6,7,7,0.692433265447314,0,"NHNB"
"entry43","86","ec:3.2.1.86","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.2.1.86","rn:R05134",291,385,"rectangle",46,17,"#000000","#BFBFFF",38,"irreversible","ec","00010",0,0,0,0,1657,6084,27.2353714661407,0,0,13,0.619047619047619,0.000302480338777979,1,2.32472713436609e-15,10,6,7,7,0.692433265447314,0,"NHNB"
"entry70","117","ec:4.1.1.32","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.32","rn:R00431 rn:R00726",239,726,"rectangle",46,17,"#000000","#BFBFFF",39,"irreversible","ec","00010",0,0,0,0,1582,6084,26.0026298487837,0,2,1,1,0.000394788787998421,3,0,8,6,7,2,3.95894795547037e-17,3.07003471536622e-06,"NHNB"
"entry72","120","ec:1.1.2.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.2.7","rn:R09127",439,960,"rectangle",46,17,"#000000","#BFBFFF",40,"reversible","ec","00010",0,0,0,0,63,6084,1.03550295857988,0,0,2,0.666666666666667,0.000302480338777979,4,5.30201714671895e-17,11,6,7,3,1.07767199864625e-08,0,"NHNB"
"entry73","121","ec:4.1.1.49","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.49","rn:R00341",239,747,"rectangle",46,17,"#000000","#BFBFFF",41,"irreversible","ec","00010",0,0,0,0,2733,6084,44.9211045364892,0.0150375939849624,1,1,1,0.000384763370527126,3,0.5,8,6,7,2,4.02630269642792e-05,1.32127589744009e-07,"NHNB"
"entry75","127","ec:1.2.1.59","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.59","rn:R01061 rn:R01063",508,484,"rectangle",46,17,"#000000","#BFBFFF",42,"reversible","ec","00010",0,0,0,0,472,6084,7.75805391190007,0.00142842224609142,3,11,0.523809523809524,0.000385951370127364,2,0.173913043478261,7,6,7,7,0.00270099392032568,0.000922641906865895,"NHNB"
"entry76","129","ec:1.2.7.6","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.7.6","rn:R07159",442,521,"rectangle",46,17,"#000000","#BFBFFF",43,"irreversible","ec","00010",0,0,0,0,89,6084,1.46285338593031,0.00594492182838048,1,12,0.428571428571429,0.000384467512495194,2,0.608695652173913,6,6,7,8,0.0025321434645642,0.00027876142734671,"HNB"
"entry77","130","ec:1.2.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.9","rn:R01058",392,521,"rectangle",46,17,"#000000","#BFBFFF",44,"irreversible","ec","00010",0,0,0,0,665,6084,10.9303090072321,0.00594492182838048,1,12,0.428571428571429,0.000384467512495194,2,0.608695652173913,6,6,7,8,0.0025321434645642,0.00027876142734671,"HNB"
"entry78","133","ec:1.2.7.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.7.1","rn:R01196",284,789,"rectangle",46,17,"#000000","#BFBFFF",45,"reversible","ec","00010",0,0,0,0,1848,6084,30.3747534516765,0,0,7,0.333333333333333,0.000302480338777979,3,0.125,9,6,7,7,1.02433660614155e-06,0,"NHNB"
"entry80","137","ec:5.4.2.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.11","rn:R01516",531,593,"rectangle",46,17,"#000000","#BFBFFF",46,"reversible","ec","00010",0,0,0,0,144,6084,2.36686390532544,0.00322980069220671,6,15,0.535714285714286,0.000387446726075165,2,0.130434782608696,6,6,7,8,0.00109504995799849,0.00169466471614367,"HNB"
